question_id,topic_id,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation
34,3,"A customer currently has an AWS partner-managed MPLS network they would like to connect their AWS resources to using Direct Connect (DX) connections. The AWS partner offers a hosted solution that can directly connect individual VPCs to the MPLS network using DX. However, the customer would like flexibility to create, delete, and configure VPCs without the need to engage the AWS partner every time a connection change or addition needs to occur. You are tasked with architecting a solution that allows the customer to achieve the goal of connecting VPCs to their partner-managed MPLS network using a DX connection while minimizing the need to engage the partner when connections are added or removed. Which solution best meets the requirements?",Create VPN connections between each VPC and the customer’s on-premises locations that are connected to the MPLS network,Create a Transit VPC that connects to the hosted DX connection from the AWS partner and provision other VPCs as needed to connect to the Transit VPC using Virtual Private Gateways,Provision enough VPCs to account for future growth now and use the hosted DX connection on each VPC,Create a Transit VPC that connects to the hosted DX connection from the AWS partner and provision other VPCs as needed to connect to the Transit VPC using VPC Peering,2,"Transit
VPCs allow customers to have flexibility in the creation, modification, and
deletion of VPCs while still maintaining a hosted DX connection to a partner
managed MPLS. Transit VPCs leverage virtual private gateways to connect to
other VPCs as VPC Peering would not allow for use of the DX connection.
Solutions that use VPN in place of DX would not meet the requirement of using a
DX connection. While provisioning extra VPCs and using a hosted DX connection with each would meet the connectivity requirement, it is an inflexible solution that wastes resources."
35,3,"A customer has reported that charges for data transfers have been higher than expected for traffic from their VPC to their on-premises network. Their in-house network engineers configured a DX connection between their VPC and on-premises network as well as a VPN connection for failover. The VPC IPv4 address range is 172.18.0.0/16. The on-premises network IPv4 address range is 172.16.0.0/16. Below are the current entries in the VPC’s routing table:
Destination                         Target
172.18.0.0/16                     local
172.16.0.0/16                     dxcon-exexexex
172.16.0.0/17                     vgw-abababab
10.20.30.0/24                     pcx-acacacac
Which of the following actions would be most likely to reduce the customer’s data transfer costs?",Remove route table entry with Destination: 10.20.30.0/24 Target: pcx-acacacac,Remove the route table entry with Destination: 172.16.0.0/17 Target: vgw-abababab,Add the route table entry with Destination: 172.16.0.0/16 Target: vgw-abababab,Remove the route table entry with Destination: 172.16.0.0/16 Target: dxcon-exexexex,2,"AWS will use the most specific route to route traffic from a VPC. Connections that begin with the prefix “vgw” are used for Virtual Private Gateway connections (which are used to establish VPN connections). Connections that begin with the prefix “dxcon” are used for Direct Connect (DX) connections. Connections that begin with the prefix “pcx” are used for VPC Peering connections. In this example, the route entry with Destination: 172.16.0.0/17 Target: vgw-abababab is the most specific route to the customer’s on-premises network, meaning any traffic originating in the VPC destined for IP addresses 172.16.0.0 - 172.16.127.255 (half of the customer’s IP address range in total) will be routed through the VPN connection. With DX data transfer rates being lower than VPN data transfer rates, removing that entry would be likely to lower data transfer costs moving forward."
36,3,A client has requested you to maximize throughput to their VPC  which is currently accessed via one 10GB Direct Connect (DX) connection. 8 ports are available at the Direct Connect Endpoint. The client is open to spending more to improve performance. Which of the following options best meets the requirement of maximizing throughput to the VPC?,Create a LAG using 3 additional 10GB connections and 4 additional 1GB connections,Create a LAG using 3 additional 10GB connections,Upgrade to a 40GB DX connection and create a LAG using 4 40GB connections,Create a LAG using 7 additional 10GB connections ,2,"All connections in a link aggregation group (LAG) must be the same bandwidth. A LAG only supports 1GB or 10GB speeds. A LAG supports up to 4 connections total. In this scenario, a LAG using 3 additional 10GB connections, for 4 total, is the only feasible solution listed."
37,3,You are creating IPv4 subnets within a VPC for a customer. The customer has a requirement to use IP addresses as efficiently as possible within each subnet. Which CIDR range should you use for a subnet that will contain 14 EC2 instances with each EC2 instance requiring 1 IPv4 address? ,/29,/28,/27,/26,3,"While /28 (16 addresses) would allow for 14 hosts normally, AWS reserves 5 IP addresses that cannot be assigned to an instance (as opposed to the 2 that are normally reserved). Given that, /27 (32 addresses) is the option that would allow for 14 instances to receive IP addresses while minimising wasted addresses. "
38,3,You have a 1000BASE-LX DX connection from your datacenter to a service provider’s location. You are unable to establish a connection to your VPC through the connection. You notice that the link lights are NOT lit on the 1000BASE-LX device in your datacenter. Which of the steps would NOT be helpful in troubleshooting the issue?,Turn on Auto Negotiation on the 1000BASE-LX device in your datacenter,Verify on-site cabling with the service provider,Set the port to Full Duplex on the 1000BASE-LX device in your datacenter,Set the port to 1GB speed on the 1000BASE-LX device in your datacenter,1,Auto Negotiation should be turned off for DX connections. It is possible an issue with the hardware at your service provider’s location is creating the problem so asking them to verify cabling is a valid troubleshooting step. The port on your device should be set to Full Duplex and match the speed of your connection (in this case the connection is 1000BASE-LX which is equivalent to 1GB).
39,3,"Your company was recently suffered a security breach. Since then you have implemented more restrictive policies both on-premises and in AWS. In addition to the NACL, IAM, and security group policies you have put in place, you would like to be alerted if there are 5 rejected SSH attempts to your EC2 instance with an ENI within any given hour. You will configure a CloudWatch Metric Filter and Alarm for a Flow Log to achieve this requirement. Which of the following should NOT be part of your Filter Pattern?","action=""REJECT""","destport=""22""","protocol=""6""","action=""ALARM""",4,"The alarm for a metric filter in CloudWatch is configured separately from the filter pattern. The “action” value in a filter pattern refers to what happened to the network traffic. In this example, you are looking for traffic that has been rejected, so you should filter for “REJECT”. For SSH connections, the “dstport” value should be “22” (the default SSH port) and the “protocol” value should be “6” (TCP). This only leaves the remaining option as the correct choice."
40,3,Your company has VPCs in two separate accounts in the same AWS region. You are tasked with establishing a VPC Peering connection between VPCs in the two accounts. Which of the following would be required to achieve this task?,Deploy VGWs on a VPC in each account,Authorize each account in the same AWS CloudFormation stack,Deploy software VPN instances on a VPC in each account,Authorize each account in the separate AWS CloudFormation stacks,2,"To peer VPCs in different accounts, you must authorize each account in the same AWS CloudFormation stack. Virtual Private Gateway (VGWs) and software VPNs are not required for VPC Peering connections."
41,3,You are testing a Classic Load Balancer that is distributing traffic to 4 EC2 instances. You are using Apache Bench to perform a single client test. You ramp the load at a rate of 25% every five minutes. The load test fails and you notice that traffic was only routed to one of the EC2 instances. What is the most likely reason for the failure?,You did not pre-warm the load balancer,Sticky sessions are enabled on the load balancer,Apache Bench is incompatible with Classic Load Balancers,No health checks were enabled on the other 3 instances,2,"Sticky sessions being enabled would cause all requests from a single client to be routed to the same backend server. If sticky sessions are enabled, testing of a load balancer should be performed with multiple clients. Apache Bench is a popular load testing tool and is not inherently incompatible with Classic Load Balancers. While pre-warming a load balancer and properly configuring health checks are important parts of testing an ELB, the symptom described is not indicative of a failure to do so."
42,3,"A customer currently has 3 VPCs in production using the same AWS account: VPC A, VPC B, and VPC C.The IPv4 address ranges for the VPCs are:VPC A 10.10.10.0/16VPC B 172.16.0.0/16VPC C 192.168.0.0/16VPCs B and C have already been configured with a VPC peering connection to VPC A. There is now a need for Linux instances on VPC B to access Linux instances on VPC C. There is a requirement not to route the traffic over the Internet. The customer would like to leave VPC B and VPC C otherwise logically isolated.Which option below best meets the requirements?",Use EC2 Instance Connect Endpoint to connect VPC B to VPC C,Use VPC peering to connect VPC B to VPC C,Use a PrivateLink VPC Endpoint to connect VPC B to VPC C,Configure no additional connections and use transitive routing through VPC A to allow connectivity between the resources on VPC B and VPC C,3,"In this scenario,  a “jump server” or Bastion host would be helpful as it would allow instances in VPC B to leverage the connectivity they have in VPC A to achieve the goal of SSH access to instances on VPC C.  Transitive routing is not supported with VPC peering. By definition, a VPN connection would route traffic over the Internet.   A  VPC Peering between VPC B and VPC C would not meet the requirement of leaving VPC B and VPC C otherwise logically isolated."
43,3,"Your team has recently performed an audit of the security of the network and infrastructure and it was discovered that you have some EC2 instances that have unintended network exposure. Since this was only discovered during a routine audit of the network and infrastructure security, you need to create a better way to have visibility into EC2 instances that have network reachability in the future. Which solution will allow you to have visibility into any EC2 instances that have network reachability in the future? ","Enable Amazon CloudSearch for the EC2 instances, view findings for your environment in the Amazon CloudSearch console.","Enable AWS Macie for the EC2 instances, view findings for your environment in the Amazon Macie console.","Enable AWS Application Discovery Service for the EC2 instances, view findings for your environment in the Amazon Application Discovery console.",Enable Amazon Inspector for the EC2 instances and view findings for your environment in the Amazon Inspector console.,4,"AWS Inspector can scan your EC2 instances for network exposure and generate findings that are viewable in the AWS Inspector dashboard. Network reachability findings indicate that there are allowed network paths to Amazon EC2 instances in your environment. These findings appear when your TCP and UDP ports are reachable from a VPC edge such as an internet gateway. These findings highlight network configurations that may be overly permissive, such as mismanaged security groups, ACLs, or IGWs, or that may allow for potentially malicious access.The remaining choices are incorrect for the following reasons:Amazon CloudSearch is a service used to make it easy to set up, manage, and scale a search solution for your website or application. Amazon CloudSearch does not scan EC2 instances for network reachability.AWS Macie is a service for the purpose of protecting sensitive data in AWS. AWS Macie can not be used to scan EC2 instances for network reachability.AWS Application Discovery Service helps enterprise customers plan migration projects by gathering information about their on-premises data centers. "
44,3,You are the network engineer responsible a VPN connection between a VPC’s virtual private gateway (VGW) and your on-premises VPN device (customer gateway). You are attempting to establish the IPsec tunnel between the two devices. Your customer gateway is on the AWS list of “Customer Gateway Devices We've Tested”. NAT-T is not being used. You have configured both the VGW and customer gateway and are now attempting to establish the IPsec tunnel between them. Phase 1 of the IKE exchange fails. You have ruled out incompatible IKE versions or encryption methods as the cause. Which option below could be creating the failure?,Your ISP is blocking inbound connections to TCP port 500,Your ISP is blocking outbound connections to UDP port 4500,Your ISP is blocking inbound connections to UDP port 500,Your ISP is blocking outbound connections to TCP port 4500,3,UDP port 500 needs to be open between a VGW and customer gateway for an IPsec tunnel to be established. Port 4500 is only required if using NAT-T.
45,3,"Your website, www.yoursite.net, contains links to videos stored in your S3 bucket. You need to allow read access to videos from www.yoursite.net, but would like to ensure that the requests are only authorized for your website. You will use a bucket policy to configure access. Which of the following should NOT be part of your bucket policy?"," ""StringLike"":{""aws:Referer"":[""http://www.yoursite.net/*"",""http://yoursite.net/*""]}","""Effect"":""Allow""","""Principal"":""*""","""Action"":""s3:PutObject""",4,"The website does not require write access or the ability to load files to the S3 bucket, therefore the ""Action"":""s3:PutObject"" should not be part of the bucket policy. Below is an example policy that would achieve the desired configuration:
{  ""Version"":""2012-10-17"",  ""Id"":""http referer policy example"",  ""Statement"":[    {      ""Sid"":""Allow get requests originating from www.yoursite.net and yoursite.net."",      ""Effect"":""Allow"",      ""Principal"":""*"",      ""Action"":""s3:GetObject"",      ""Resource"":""arn:aws:s3:::yourbucket/*"",     ""Condition"":{                 ""StringLike"":{""aws:Referer"":[""http://www.yoursite.net/*"",""http://yoursite.net/*""]}      }    }  ]}"
46,3,Your company has a customer gateway (CGW) that you will be using to connect to two separate VPCs via VPN. There are overlapping private IP address ranges on the two VPCs. You need to mitigate the potential issues that can occur when overlapping IP address ranges exist on a routing table. Which solution best meets the objective?,Use VRF on the CGW,Change the AS number of the CGW,Peer the VPCs and connect the CGW to one VPC only,Use DX to connect the VPCs and connect the CGW to one VPC only,1,"Virtual Routing and Forwarding (VRF) is a technology that allows multiple instances of a routing table to co-exist within the same router at the same time. Because the routing instances are independent, the same or overlapping IP addresses can be used without conflicting with each other."
47,3,"Your customer is designing a VPC to host a web application and database. They would like to add IPv6 support both for the web application and database. The VPC is split into two subnets. Subnet 1 hosts a web server with an IP address range of 10.100.100.0/24 and hosts the web application instance with a Private IPv4 address of 10.100.100.5 and an Elastic IP (EIP) of 198.15.200.6. Currently, outbound IPv4 Internet traffic is routed through a NAT Gateway on Subnet 1. The web application will need outbound IPv6 access and allow anyone to establish an HTTP or HTTPS session to the server. Which of the following solutions best meets the requirements for Subnet 1?","Enable IPv6 on the NAT Gateway, add a static route pointing all IPv6 traffic to the NAT Gateway, and add rules to the web application instances’ security group  that allow traffic from ::/0 to access TCP ports 80 & 443","Add an Internet Gateway (IGW) to the account, add a static route pointing all IPv6 traffic to the IGW, add rules to the web application instances’ security group that allows inbound traffic from ::/0 to TCP ports 80 & 443","Add an Internet Gateway (IGW) to the account, add a static route pointing all IPv6 traffic to the IGW, add rules to the web applications’ instance that allow outbound traffic from ::/0 to access TCP port 80 & 22","Enable IPv6 on the NAT Gateway, add a static route pointing all IPv6 traffic to the NAT Gateway, add rules to the web application instances’ security group that allows inbound traffic from ::/0 to TCP ports 80 & 443",2,NAT Gateways do not support IPv6. IGWs support both IPv4 and IPv6. The default HTTP and HTTPS ports are TCP ports 80 and 443. 
48,3,You are deploying an EC2 instance in your VPC that requires a static public IPv4 that can be reassigned to another instance in the event of a failure. Which of the following solutions will allow you to meet this requirement?,Elastic IP Address,Elastic Load Balancer,Auto Scaling,Internet Gateway,1,"Elastic IP Addresses are static public IPv4 addresses that are associated with an account, not a specific instance. Since the IP address is associated with the account and not a specific instance, failures of instances can be masked by remapping the IP address to another instance. "
49,3,"Users from all over the world visit your website. To improve their experience while on the site, you enabled Geolocation routing in Route 53. You specified specific ELBs for the EU, the United States, and Australia. After doing this, users from Canada were unable to connect to your site. What should you do to resolve the issue and mitigate the likelihood of it reoccurring?",Create a default record,Enable EDNS0,Specify an ELB for Canada,Specify an ELB for North America,1,"When using Geolocation routing, if you want users from unspecified regions or with IP addresses that cannot be reconciled to a location to be able to access your site, you need to create a default record. Specifying an ELB for Canada or North America would resolve the immediate issue, but given that your site has visitors from all over the world, the issue would be likely to reoccur. Using EDNS0 would potentially improve the accuracy of Geolocation routing, but would not route users to a default site or resolve issues with users who access the site from unspecified regions or with IP addresses that cannot be reconciled to a location."
50,3,"You are responsible for launching your company's website. The backend consists of multiple EC2 instances, and mutual TLS (mTLS) authentication using a backend certificate is a requirement.  You will be using CloudFront as a CDN, and there is a need to restrict access to individual PDF and MP4 files so that only certain users can access them. You have not yet determined a load-balancing strategy.Which of these options best meets the requirements?",Application Load Balancer and Signed Cookies,Gateway Load Balancer and Signed URLs ,Network Load Balancer and Signed URLs,Application Load Balancer (ALB) and Signed URLs,1,"Application Load Balancer (ALB) supports mutual TLS (mTLS) at the listener level, making it the best option in this scenario for handling backend authentication with certificates.Gateway Load Balancer (GWLB) and Signed URL is incorect. GWLBs are designed for third-party security appliances (firewalls, IDS/IPS, etc.), not for handling application traffic or mTLS authentication.  Signed URLs are useful for restricting file access but do not solve the mTLS authentication issue for backend EC2 instances.NLB operates at Layer 4 (TCP/UDP) and does not support mutual TLS authentication at the application layer. While Signed URLs can help restrict file access, NLBs do not provide application-layer authentication, making them unsuitable for this scenario.Application Load Balancer (ALB) and Signed URLs is incorrect. ALB is the right choice for mTLS, but Signed URLs are not the best choice for access restriction in this case. Signed Cookies are the preferred method when restricting access to multiple files per session, whereas Signed URLs are better for controlling access to single-use file downloads."
51,3,A customer has EC2 clusters deployed in private subnets within VPCs in the Asia Pacific (Tokyo) and US West (Oregon) regions. They would like to establish connectivity between the clusters while minimizing the amount of traffic that traverses the public Internet. Which of the following should be implemented in each region to meet the requirements?,"VGWs, software VPN instances, and public VIFs",CloudFront and Private VIFs,"IGWs, software VPN instances, and EIPs",VPC endpoints and Private VIFs,3,"Software VPN solutions can be used in conjunction with Internet Gateways (IGWs) and Elastic IPs (EIPs) to connect VPCs in different regions. By default in this configuration, AWS will route traffic over the AWS private network infrastructure, as opposed to the public Internet, on a best effort basis. CloudFront is a CDN technology. Virtual Private Gateways (VGWs) are used to connect VPCs to other VPN devices, but not to other VGWs."
52,3,"A client has requested that you configure an Active/Passive Direct Connect (DX) configuration for them between their VPC and on-premises datacenter so that the secondary DX connection is used only as a failover connection. You have already configured two routers to terminate the primary and secondary DX connections, a private virtual interface that terminates each of the routers for the DX to the same VPC, and iBGP on the routers to ensure that if the primary router fails the secondary router will take over. Which of the following steps are required to complete the Active/Passive DX configuration in this scenario? ","No action is required, Active/Passive is the default configuration",Configure MED to make the active link the preferred route,Use AS path prepending to make one of the links the passive link,Set the “passive” attribute on the link that is to serve as the Passive link using the AWS CLI or AWS Console,3,"By default, DX connections are Active/Active. The preferred method to make a link passive is to AS path prepend routes on the link. While the AWS CLI and AWS Console are common methods used to provision resources, the “passive” attribute referenced here was made up for use in this question."
53,3,"AWS uses a shared responsibility security model. This means AWS and AWS customers share responsibility for keeping resources secure, with each party being responsible for certain assets. For infrastructure services like EC2, which of the following assets are AWS customers responsible for?",Security of Data Center Facilities,Security of Server Hardware,Security of Network Cables and Switches,Security of Amazon Machine Images (AMIs),4,"According to an August 2016 AWS whitepaper, AWS uses a shared responsibility security  model. This means AWS and AWS customers share responsibility for keeping resources secure,  with each party being responsible for certain assets. For infrastructure services like EC2, AWS manages security for these assets:
• Facilities
• Physical security of hardware
• Network infrastructure
• Virtualization infrastructure
AWS customers are responsible for the security of these assets:
• Amazon Machine Images (AMIs)
• Operating systems
• Applications
• Data in transit
• Data at rest
• Data stores
• Credentials
• Policies and configuration"
54,3,You are deploying WorkSpaces for your company. Your management team requires all users to authenticate using an on-premises Active Directory (AD) server and no AD data is cached in AWS. You have a DX connection to your on-premises network and you have created a VPC with two private subnets in two AZs for Workspaces. Which of the following will be best suited to help complete the configuration?,AD Connector and DHCP options for the VPC configured to assign on-premises DNS servers,Simple AD and DHCP options for the VPC configured to assign the default Amazon DNS Servers,Microsoft AD and an EC2 instance running a replica of the on-premises DNS servers,AD connector and an EC2 instance running a replica of the on-premises DNS servers,1,"AD Connector does not cache AD data. In order to reliably use the on-premises AD servers, WorkSpaces should be configured to use the on-premises DNS servers. Both Simple AD and Microsoft AD would require data to be stored within AWS. Replicating the on-premises DNS servers is not ideal in this use case. "
55,3,"A client has a Classic Load Balancer named “client-lb” configured to distribute incoming requests across 10 instances in the us-east-1a AZ and 5 instances in the us-east-1b AZ. The client has a requirement for the incoming requests to be distributed equally across all 15 instances. Using the AWS CLI, which command below could be used to meet this requirement?","aws elb modify-load-balancer-attributes --load-balancer-name client-lb --load-balancer-attributes ""{\""ConnectionDraining\"":{\""Enabled\"":true,\""Timeout\"":300}}""","aws elb create-load-balancer --load-balancer-name client-lb --listeners ""Protocol=HTTP,LoadBalancerPort=80,InstanceProtocol=HTTP,InstancePort=80"" --availability-zones us-east-1a us-east-1b","aws elb create-load-balancer --load-balancer-name client-lb --listeners ""Protocol=HTTP,LoadBalancerPort=443,InstanceProtocol=HTTP,InstancePort=443"" --availability-zones us-east-1a us-east-1b","aws elb modify-load-balancer-attributes --load-balancer-name client-lb --load-balancer-attributes ""{\""CrossZoneLoadBalancing\"":{\""Enabled\"":true}}""",4,"Cross-Zone Load Balancing distributes incoming requests evenly across all enabled Availability Zones. This reduces the need to have equal numbers of instances in all Availability Zones and improves the ability of an application to deal with the loss of instances. The ""modify-load-balancer"" can be used in conjunction with the --load-balancer-attributes option and ""{\""CrossZoneLoadBalancing\"":{\""Enabled\"":true}}"" variables to enable Cross-Zone Load Balancing on an existing Classic Load Balancer. "
56,3,"When an Amazon Virtual Private Cloud (VPC) is created, Amazon automatically creates a set of DHCP options. One of the options is AmazonProvidedDNS which maps an AWS-managed DNS server to an IPv4 address that is reserved at the base of the VPC’s IPv4 network range, plus two. Given this information, what would be the IP address for the AWS-managed DNS server in a VPC with a network range of 10.20.30.0/24?",10.20.32.1,10.20.32.0,10.20.30.2,10.20.30.1,3,"By default, the Amazon provided DNS server in a VPC is given the IPv4 address at the base of the VPC’s IPv4 network range, plus two. Given a network range of 10.20.30.0/24, the base is 10.20.30.0. Adding two to the base, we get 10.20.30.2. "
57,3,"A customer needs to allow EC2 instances deployed across 3 VPCs (VPCs A, B, & C) access to DNS servers at an on premises datacenter. The customer has the required hardware to establish a VPN connection, but would like to minimize the traffic over the VPN. Which of the solutions below best meets the requirements described?","Configure a Transit VPC with an EIP and IGW to connect to the data center, create VPN connections between the Transit VPC the VPCs A, B, & C, and use dynamic routing to allow the VPCs A, B, & C to access the DNS server at the data center","Configure a VPC with a VPN connection through a VGW, replicate the data center’s DNS services on this VPC, and establish VPC Peering connections between this VPC and VPCs A, B, & C allowing VPCs A, B, & C to access the replicated DNS server","Configure a Transit VPC with an EIP and IGW to connect to the data center, create VPC Peering connections between the Transit VPC the VPCs A, B, & C, and use dynamic routing to allow the VPCs A, B, & C to access the DNS server at the data center","Configure a VPC with a VPN connection through a VGW, establish VPC Peering connections between this VPC and VPCs A, B, & C,  and create static routes to allow the VPCs A, B, & C to access the DNS server at the data center",2,"This
configuration is sometimes referred to as a “Shared Services” VPC. Shared
Services VPCs are advantageous when users wish to limit VPN traffic and the
on-premises resources are easily replicated or proxied (Active Directory, DNS
etc). Creating a Transit VPC with an EIP and IGW and establishing VPN
connections between that VPC and VPCs A, B, & C would allow for the
required connectivity but would not minimize VPN traffic. VPC Peering could not
be used to allow direct connections to the data center as VPC Peering does not
allow transitive routing. "
58,3,You are configuring Amazon Route 53 to route traffic destined for yourwebsite.com to an Application Load Balancer that is configured to distribute IPv4 traffic in two availability zones in the same AWS region. Which record set should you edit to point traffic for yourwebsite.com to your Application Load Balancer? Select the answer that is the most cost-effective and scalable.,Alias,CNAME,AAAA,MX,1,"yourwebsite.com  is a zone apex. Alias record sets can be used to set a zone apex, but CNAME records cannot. Additionally, queries to Alias records that are mapped to an ELB are free. A records are used to map IPv4 addresses to FQDNs, the IP address of the ELB may change. MX records are used for email servers."
59,3,"Assuming the user has the appropriate access, rule number 100 does not already exist, and acl-12345 is a valid network ACL, what does the AWS CLI command below do?
aws ec2 create-network-acl-entry --network-acl-id acl-12345 --ingress --rule-number 100 --protocol udp --port-range From=53,To=53 --cidr-block 0.0.0.0/0 --rule-action allow",Allow inbound traffic from all IPv4 addresses on the default SFTP port,Allow outbound traffic to all IPv4 addresses on the default DHCP port,Allow inbound traffic from all IPv4 addresses on the default DNS port,Allow inbound traffic from all IPv4 addresses on the default RDP port,3,"The “create-network-acl-entry” AWS CLI command creates a rule in a network ACL. Ingress rules are for inbound traffic. Egress rules are for outbound traffic. By default, DNS uses UDP port 53."
60,3,"You have a DX connection between your on-premises network and your VPC. Your on-premises IP address range is 172.16.0.0-172.16.1.255. There are multiple subnets across 2 AZs in your VPC. Subnet A in your VPC has an IP address range of 10.20.30.0-10.20.30.255. Subnet B has an IP address range of 10.20.40.0-10.20.40.255. Subnet A hosts a number of Windows EC2 instances that require outbound Internet access through a NAT gateway hosted in Subnet B, must be accessible via RDP from your on-premises network, and should allow no other inbound traffic other than what is necessary to meet these requirements. Which of the following should NOT be an IPv4 rule in the NACL for Subnet A?",An Inbound ALLOW rule with a source IP of 0.0.0.0/0 for TCP ports 1024-65535,An Outbound ALLOW rule with a destination of 0.0.0.0/0 for all protocols and all ports,An Inbound ALLOW rule with a source IP of 172.16.0.0/24 for TCP port 3389,An Inbound ALLOW rule with a source IP of 172.16.0.0/23 for TCP port 3389,3,The correct response is An Inbound ALLOW rule with a source IP of 172.16.0.0/24 for TCP port 3389 because it is NOT an IPv4 rule in the NACL for Subnet A.The Inbound ALLOW rule with a source IP of 0.0.0.0/0 for TCP ports 1024-65535 and the outbound ALLOW rule with a destination of 0.0.0.0/0 for all protocols and all ports would allow for Internet access (the inbound rule is required for return traffic on ephemeral ports). The allow rule for RDP access from the on-premises network should use a /23 CIDR range to account for all the IP addresses in the 172.16.0.0-172.16.1.255 range.
61,3,A customer would like to optimize the performance of their web application by routing inbound traffic to customersite.net/api to Compute Optimized EC2 instances and inbound traffic to customersite.net/mobile to Memory Optimized EC2 instances. Which solution below would be best to implement for this customer?,Configure proxy servers to forward the traffic to the correct instances,Use an Application Load Balancer with host-based routing rules to forward the traffic to the correct instances,Use an Application Load Balancer with path-based routing rules to forward the traffic to the correct instances,Enable X-Forwarded For on the web servers and use a Classic Load Balancer ,3,"Application Load Balancers support both path-based and host-based routing. Path-based routing takes into account the path in the URI (i.e. /2017/july/blogs or in this case /api and /mobile) and allows rules to be configured that would allow traffic to be forwarded as required in this example. Application Load Balancers can be used with host-based routing rules to route traffic by subdomain names, not URI paths. Proxy servers could be used to achieve the desired functionality, but are less efficient. X-Forwarded For would not be helpful in forwarding traffic to specific instances."
62,3,Your customer would like to migrate the DNS service for the subdomain “mobile.customersite.com” to Route 53 without migrating the DNS service for “customersite.com” or any other subdomains. Which of the following would not be one of the steps required for completing the process?,Creating a Route 53 hosted zone for “mobile.customersite.com”,Adding resource record sets for “mobile.customersite.com” to a Route 53 hosted zone,Updating the DNS configuration for “customersite.com” by adding name server records for “mobile.customersite.com”,Adding a start of authority record to the zone file for “customersite.com” ,4,"Adding a start of authority record to the zone file of a parent domain would not be required when migrating a subdomain to Route 53 since the parent domain will not be the authority of the subdomain. To migrate a subdomain to Route 53, you must create a hosted zone for the subdomain, add resource record sets for the subdomain to the hosted zone, and update the DNS configuration of the parent domain with name server records for the subdomain."
63,3,"Your company has 3 VPCs, VPC A, VPC B, and VPC C. All 3 VPCs require IPv4 connectivity.
VPC A has an IPv4 address range of 172.24.0.0/16
VPC B has an IPv4 address range of 172.30.0.0/16
VPC C has an IPv4 address range of 10.20.0.0/16
VPC A is peered to VPC B using a VPC Peering connection named pcx-abababab
VPC A is peered to VPC C using a VPC peering connection named pcx-acacacac
Which of the following static routes could be added to VPC B’s routing table to allow traffic originating in VPC B to reach VPC C?",Destination: pcx-abababab Target: 10.20.0.0/16,Destination: 10.20.0.0/16 Target: pcx-abababab,Destination: pcx-abababab Target: pcx-acacacac,None of the options available are valid,4,"VPC Peering does not support transitive routing. In this example, that means that VPC B cannot reach VPC C using connections to VPC A. A new VPC Peering connection must be used to connect VPC B and VPC C."
64,3,"You have configured an Active/Passive Direct Connect (DX) connection for a customer between their VPC and on-premises datacenter. You have already configured two routers to terminate the primary and secondary DX connections, a private virtual interface that terminates each of the routers for the DX to the same VPC, and iBGP on the routers to ensure that if the primary router fails the secondary router will take over, and used AS path prepending to make one of the links the passive link. Connectivity between resources in the customer’s VPC and on-premises datacenter works as expected, but after testing failover the customer complains that it takes too long for the passive link to activate. What could be enabled to make the failover faster?",BFD,OSPF,eBGP,VPC Peering,1,"Bidirectional Forwarding Detection (BFD) is a network fault detection protocol that helps detect network failures quickly and can be leveraged to improve failover times in Active/Passive DX connections. AWS recommends enabling BFD when using multiple DX  connections or a DX connection and a VPN connection to speed up failover times. OSPF is an interior routing protocol. eBGP is External BGP, which is the Internet facing version of BGP. VPC Peering is used to connect two VPCs."
65,3,You are using auto scaling EC2 instances that serve as the front end of a web application based on CPU utilization. The additional instances terminate when CPU utilization stabilizes. You would like to download application log files from the instance before it terminates. Which of the options below would allow you to reliably retrieve the application log files before instances terminate?,Lifecycle hooks,Auto scaling cooldowns,The rds-download-db-logfile AWS CLI command,CloudTrail,1,"Lifecycle hooks allow you to execute custom actions as auto scaling launches or terminates instances and would be best suited to meet the requirement in this scenario. Auto scaling cooldowns are a wait period before a subsequent auto scaling action occurs. The rds-download-db-logfile AWS CLI command is specific to RDS. CloudTrails used to log and continuously monitor events related to API calls, and would not be helpful in downloading application specific log files in this scenario. "
